"","Team","Klasse","Beker","FIDE","KNSB","ClubNaam","Lat","Long"
"1","AAS","2B","",2178,2167,"AAS",52.2681694,4.7481098
"2","Almelo","3A","B",2020,2036,"Almelo",52.3791313,6.6767702
"3","Almere 1","3D","B",2015,2021,"Almere",52.3577499,5.1936402
"4","Almere 2","3B","",1899,1897,"Almere",52.3577499,5.1936402
"5","Amersfoort","2C","A",2120,2094,"Amersfoort",52.1822891,5.4068499
"6","Amsterdam West","3C","B",2044,2022,"Amsterdam West",52.3716393,4.8688798
"7","ASC","3E","C",2063,2022,"ASC",52.1454201,4.67344
"8","Assen","2A","A",1991,1977,"Assen",53.0006599,6.5413299
"9","ASV 2","3E","",2059,2034,"ASV",51.9872017,5.9607401
"10","ASV 3","3C","",2054,2032,"ASV",51.9872017,5.9607401
"11","ASV","1A","D",2188,2187,"ASV",51.9872017,5.9607401
"12","Baarn (SGS)","Regionaal","B",0,0,"Baarn (SGS)",52.21279,5.2933
"13","Bergen op Zoom","3G","",2051,1965,"Bergen op Zoom",51.4834404,4.2962499
"14","Botwinnik","3G","C",1976,1982,"Botwinnik",52.0514652,4.4975645
"15","Boven IJ","3E","B",2066,2034,"Boven IJ",52.395401,4.9266
"16","BSG 2","3D","",2076,2050,"BSG",52.2788582,5.16219
"17","BSG","1A","",2375,2370,"BSG",52.2788582,5.16219
"18","BSV Bennekom","3E","B",2055,2033,"BSV Bennekom",52.0003204,5.67133
"19","Caissa 4","3C","",1992,1984,"Caissa",52.349781,4.87393
"20","Caissa 5","3E","",1990,1949,"Caissa",52.349781,4.87393
"21","Caissa 3","3B","",2059,2046,"Caissa",52.349781,4.87393
"22","Caissa","1A","C",2259,2250,"Caissa",52.349781,4.87393
"23","Caissa 2","2B","",2112,2112,"Caissa",52.349781,4.87393
"24","Caissa-Eenhoorn","2A","B",2206,2207,"Caïssa-Eenhoorn",52.6714287,5.0932598
"25","Caissa-Eenhoorn 2","3C","",2058,2063,"Caïssa-Eenhoorn",52.6714287,5.0932598
"26","Charlois Europoort 2","3E","",2052,2027,"Charlois Europoort",51.8725014,4.46802
"27","Charlois Europoort","M","D",2387,2395,"Charlois Europoort",51.8725014,4.46802
"28","CSV","3G","C",2121,2108,"CSV",51.9295199,4.5917899
"29","DD","2D","C",2184,2191,"DD",52.0841789,4.29561
"30","DD 2","3G","",1978,1966,"DD",52.0841789,4.29561
"31","De Baronie","3G","D",2065,1987,"De Baronie",51.58616,4.78935
"32","De Combinatie","3H","D",2053,2044,"De Combinatie",51.4020882,5.7451
"33","De Drie Torens","3H","D",1991,1971,"De Drie Torens",51.5558205,5.0708899
"34","De Giessen en Linge","3H","D",2056,2051,"De Giessen en Linge",51.8534317,4.8871298
"35","De Pion 2","3F","",1970,1930,"De Pion",51.5383987,4.4607201
"36","De Pion","2D","D",2172,2169,"De Pion",51.5383987,4.4607201
"37","De Scheve Toren (HSB)","Regionaal","C",0,0,"De Scheve Toren (HSB)",52.01265,4.44316
"38","De Stukkenjagers 2","3G","",2154,2127,"De Stukkenjagers",51.5584106,5.0823798
"39","De Stukkenjagers","1B","D",2290,2293,"De Stukkenjagers",51.5584106,5.0823798
"40","De Stukkenjagers 3","3H","",2046,1992,"De Stukkenjagers",51.5584106,5.0823798
"41","De Toren Arnhem","1A","D",2204,2201,"De Toren Arnhem – VSV",51.9524803,5.8681998
"42","De Toren Arnhem 2","3B","",1926,1885,"De Toren Arnhem – VSV",51.9524803,5.8681998
"43","De Uil (NHSB)","Regionaal","B",0,0,"De Uil (NHSB)",52.29774,4.57899
"44","De Waagtoren","2B","B",2183,2177,"De Waagtoren",52.6311417,4.7433901
"45","De Wijker Toren","1B","C",2179,2175,"De Wijker Toren",52.4941788,4.5931902
"46","De Wijker Toren 2","3E","",1963,1957,"De Wijker Toren",52.4941788,4.5931902
"47","Denk en Zet/O&O Kampen","3A","A",1926,1923,"Denk en Zet/O&O Kampen",52.56152,5.90213
"48","DJC Stein","2D","",2191,2163,"DJC Stein",50.9594193,5.7757301
"49","Dordrecht","2C","D",2114,2105,"Dordrecht",51.8013802,4.6803398
"50","DSC Delft 3","3G","",2063,2078,"DSC Delft",52.0076621,4.3640828
"51","DSC Delft 2","2D","",2120,2096,"DSC Delft",52.0076621,4.3640828
"52","DSC Delft","1B","C",2251,2249,"DSC Delft",52.0076621,4.3640828
"53","DSC Dongen (NBSB)","Regionaal","D",0,0,"DSC Dongen (NBSB)",51.63163,4.92416
"54","DSG Pallas","3B","A",1956,1954,"DSG Pallas",52.2743416,6.1510301
"55","Dubbelschaak '97","2D","D",2150,2125,"Dubbelschaak '97",51.5871887,5.3295398
"56","Eindhoven","3H","D",2154,2122,"Eindhoven",51.4271698,5.5114102
"57","Emanuel Lasker","3A","A",2088,2033,"Emanuel Lasker",53.2706604,5.6040902
"58","En Passant","M","B",2460,2469,"En Passant",52.2437897,5.37042
"59","ENPS (SGA)","Regionaal","B",0,0,"ENPS",52.3501701,4.8900399
"60","Fischer Z","3D","B",2123,2099,"Fischer Z",52.3767014,4.90167
"61","Goes","3G","D",2046,2034,"Goes",51.5099106,3.8956599
"62","Groninger Combinatie 2","2A","",2134,2118,"Groninger Combinatie",53.2085686,6.5413899
"63","Groninger Combinatie","M","A",2384,2384,"Groninger Combinatie",53.2085686,6.5413899
"64","Groninger Combinatie 3","3A","",1940,1919,"Groninger Combinatie",53.2085686,6.5413899
"65","Qonnected Hardenberg","2A","A",2090,2079,"Hardenberg",52.5721588,6.62252
"66","Heerenveen (FSB)","Regionaal","A",0,0,"Heerenveen (FSB)",52.95721,5.92994
"67","HMC Calder","M","D",2424,2423,"HMC Calder",51.69767,5.3407698
"68","HMC Calder 2","2D","",2108,2120,"HMC Calder",51.69767,5.3407698
"69","Hoogland","3D","A",1931,1901,"Hoogland",52.17899,5.375
"70","HSC","3H","",2052,2034,"HSC Helmond",51.4785309,5.6645002
"71","HSG","2A","A",2082,2067,"HSG",52.2234917,5.18081
"72","HSP/Veendam","3B","A",1993,1957,"HSP/Veendam",53.1659889,6.7688398
"73","HWP Haarlem 2","3D","",2006,1993,"HWP Haarlem",52.3973045,4.65065
"74","HWP Haarlem","2C","B",2192,2187,"HWP Haarlem",52.3973045,4.65065
"75","HWP Sas van Gent","M","",2334,2324,"HWP Sas van Gent",51.2265,3.7997
"76","HWP Sas van Gent 2","2D","",2154,2105,"HWP Sas van Gent",51.2265,3.7997
"77","HWP Sas van Gent 3","3G","",2043,2021,"HWP Sas van Gent",51.2265,3.7997
"78","HWP Sas van Gent 4","3F","",1927,1895,"HWP Sas van Gent",51.2265,3.7997
"79","Kennemer Combinatie 2","2B","",2141,2140,"Kennemer Combinatie",52.3973045,4.65065
"80","Kennemer Combinatie","M","C",2432,2434,"Kennemer Combinatie",52.3973045,4.65065
"81","Krimpen aan den IJssel","3F","C",2086,2054,"Krimpen aan den Ijssel",51.9161644,4.5967598
"82","Laurierboom-Gambiet","2C","",2135,2122,"Laurierboom-Gambiet",52.3716393,4.8688798
"83","Leek (OSBO)","Regionaal","A",0,0,"Leek (OSBO)",53.16142,6.36899
"84","Leiderdorp","3D","C",2003,2017,"Leiderdorp",52.15102,4.52539
"85","Lonneker","2A","A",2075,2065,"Lonneker",52.2491798,6.90696
"86","LSG 3","3E","",2116,2100,"LSG",52.1563606,4.46522
